date,symbol,action,price,amount,fee_usd
2025-04-01 09:00:00,PEPE,buy,0.0000082,10000000,2.50
2025-04-02 14:30:00,PEPE,buy,0.0000078,5000000,1.25
2025-04-05 11:15:00,PEPE,sell,0.0000095,15000000,3.00
2025-04-03 10:00:00,BONK,buy,0.000024,500000,1.50
2025-04-07 16:45:00,BONK,sell,0.000021,500000,1.50
2025-04-08 08:30:00,WIF,buy,2.45,50,1.80
2025-04-10 13:00:00,WIF,sell,2.89,50,1.90
2025-04-12 09:20:00,SOL,buy,145.50,2,0.50
2025-04-15 17:30:00,SOL,sell,158.20,2,0.55
2025-04-18 11:00:00,DOGE,buy,0.165,1000,2.00
2025-04-20 14:15:00,DOGE,sell,0.172,1000,2.10
